AGNAM CIVOL,28,9
ALMADIES,7,1
BABA GARAGE,2,2
BALA,12,12
BAMBA THIALÈNE,21,12
BANDAFASSI,24,7
BARKÉDJI,25,8
BEMBOU,40,7
BOGHAL,5,11
BONA,5,11
BONCONTO,45,6
BOYNGUEL BAMBA,12,12
BÉLÉ,1,12
CABROUSSE,33,14
CAS CAS,35,10
COLOBANE,11,3
DAKAR PLATEAU,7,1
DAKATÉLI,39,7
DAR SALAM,39,7
DAROU MINAME 2,27,4
DAROU MOUSTY,23,8
DIAMNIADIO,37,1
DIANKÉ MAKHA,12,12
DIAROUMÉ,5,11
DIENDÉ,41,11
DIOULACOLON,20,6
DJIBABOUYA,41,11
DJIBANAR,13,11
DJILOR,10,3
DJIRÉDJI,41,11
DODJI,25,8
FAFACOUROU,31,6
FIMELA,9,3
FISSEL,30,13
FONGOLIMBI,24,7
GAMADJI SARÉ,35,10
GNIBY,16,4
GRAND DAKAR,7,1
IDA MOURIDE,22,4
JAXAAY,19,1
KAEL,29,2
KARANTABA,13,11
KATABA 1,3,14
KATAKEL,16,4
KEUR MBOUCKI,4,4
KEUR MOMAR SARR,26,8
KEUR MOUSSA,43,13
KOKI,26,8
KOULOR,12,12
KOUMBAL,18,5
KOUSSANAR,42,12
KOUTHIABA OUOLOF,21,12
KÉNIÉBA,1,12
LAMBAYE,2,2
LOUDIA OUOLOF,33,14
LOUR ESCALE,22,4
MABO,4,4
MAKACOLIBANTANG,42,12
MALIKA,19,1
MAMPATIM,20,6
MBADAKHOUNE,14,5
MBANE,6,10
MBÉDIENE,26,8
MISSIRAH WADÈNE,22,4
MISSIRAH,42,12
MOUDÉRY,1,12
MÉDINA SABAKH,32,5
MÉOUANE,44,13
MÉRINA DAKHAR,44,13
NDAME,29,2
NDANDE,23,8
NDIAYE,6,10
NDINDY,8,2
NDIOB,9,3
NDIÉDIENG,18,5
NDORNA,31,6
NDOULO,8,2
NGOTHIE,18,5
NGOYE,2,2
NGUÉLOU,14,5
NIAGUIS,46,14
NIAKHAR,9,3
NIAKHÈNE,44,13
NIAMING,31,6
NIODIOR,10,3
NOTTO,43,13
NYASSIA,46,14
OGO,28,9
ORKADIÉRÉ,17,9
OUADIOUR,11,3
PAKOUR,45,6
PAMBAL,44,13
PAOS KOTO,32,5
PARCELLES ASSAINIES,7,1
PIKINE DAGOUDANE,34,1
RAO,38,10
RUFISQUE EST,37,1
SABODALA,40,7
SAGATTA DJOLOF,25,8
SAGATTA GUETH,23,8
SAGNA,27,4
SAKAL,26,8
SALDÉ,35,10
SAM NOTAIRE,15,1
SANGALKAM,37,1
SARÉ BIDJI,20,6
SARÉ COLY SALLÉ,45,6
SIMBANDI BRASSOU,13,11
SINDIA,30,13
SINDIAN,3,14
SÉSSÈNE,30,13
TATTAGUINE,9,3
TAÏF,29,2
TENDOUCK,3,14
TENGHORI,3,14
THIAROYE,34,1
THILÉ BOUBACAR,35,10
THIÈS NORD,43,13
THIÈS SUD,43,13
THIÉNABA,43,13
TOUBACOUTA,10,3
VÉLINGARA,36,9
WACK NGOUNA,32,5
WAKHINANE NIMZATT,15,1
WOURO SIDY,17,9
YANG YANG,25,8
YEUMBEUL,19,1
