ADÉANE,81,46,14
AFFÉ DJOLOF,99,25,8
AGNAM CIVOL,1,28,9
AOURÉ,89,17,9
AÉRÉ LAO,15,35,10
BABA GARAGE,3,2,2
BADION,32,31,6
BAGADADJI,60,20,6
BAGHÈRE,108,13,11
BAKEL,0,1,12
BALA,4,12,12
BALINGHORE,114,3,14
BALOU,66,1,12
BAMBA THIALÈNE,5,21,12
BAMBALY,30,41,11
BAMBEY,0,2,2
BAMBILOR,105,37,1
BANDAFASSI,6,24,7
BANDEGNE OUOLOF,71,23,8
BANI ISRAËL,23,12,12
BARGNY,0,37,1
BARKÉDJI,7,25,8
BASSOUL,85,10,3
BEMBOU,8,40,7
BIGNARABÉ,76,31,6
BIGNONA,0,3,14
BIRKÉLANE,0,4,4
BISCUITERIE,38,7,1
BODE LAO,36,35,10
BOGHAL,9,5,11
BOKHOL,62,6,10
BOKIDIAWÉ,88,28,9
BOKILADJI,89,17,9
BOKÉ DIALLOUBÉ,103,35,10
BONA,10,5,11
BONCONTO,11,45,6
BOULAL,99,25,8
BOULEL,37,16,4
BOUNKILING,0,5,11
BOUROUCO,76,31,6
BOUTOUCOU FARA,23,12,12
BOUTOUPA CAMARA COUNDA,81,46,14
BOYNGUEL BAMBA,12,12,12
BÉLÉ,13,1,12
BÉMET BIDJINI,27,41,11
CAMBÉRÈNE,94,7,1
CHÉRIF LO,92,44,13
COLOBANE,16,11,3
COUBALAN,115,3,14
COUMBACARA,60,20,6
DABALY,93,32,5
DABIA,1,28,9
DABO,60,20,6
DAGANA,0,6,10
DAHRA,0,25,8
DAKAR,0,7,1,Ville
DAKATÉLI,18,39,7
DALIFORT,95,34,1
DALLA NGABOU,70,29,2
DANGALMA,79,2,2
DAR SALAM,19,39,7
DARA MBOSS,80,14,5
DAROU KHOUDOSS,68,44,13
DAROU MARNANE,21,23,8
DAROU MINAME 2,20,27,4
DAROU MOUSTY,21,23,8
DAROU NAHIM,41,29,2
DAROU SALAM TYP,41,29,2
DAROU SALAM,93,32,5
DEALY,99,25,8
DEMBANCANÉ,89,17,9
DENDÈYE GOUYE GUI,41,29,2
